,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
12/26/2015,0,0,2,0,0,0,0,45,2287,21,43,0,0,0,0,0,13,0,0,58,0,23,119,10,2,360,2,0,0,109,84,18,27,48,0,1,25,245,139,43,70,0,1,0,1,201,12,0,34,20,37,0,0,18,5,0,124,69,0,0,0,413,103,0,0,36,2,0,0,0,0,1,11,24,42,0,0,0,387,14,0,0,14,19,0,0,4,1,0,17,0,20
1/2/2016,0,0,12,0,0,8,0,332,1376,184,77,0,0,0,0,0,3,0,0,13,0,71,1,22,1,86,3,0,0,255,37,0,607,48,15,12,5,-1,174,57,1,110,0,0,29,1,132,0,2,24,30,0,2,12,7,0,20,68,0,0,0,0,1009,0,0,41,1,0,4,0,0,4,219,10,18,0,0,0,800,121,0,0,2,16,0,0,5,2,0,52,0,0
1/9/2016,0,0,21,0,0,0,0,0,3392,162,43,0,0,0,0,0,6,0,1,15,0,95,0,61,53,6928,3,0,1,464,416,1,312,114,0,1,177,750,10,135,89,0,177,0,6,5,527,5,2,2,21,0,2,12,5,0,116,114,0,0,0,2201,4274,0,0,25,0,0,32,0,0,1,364,118,18,0,0,3,2130,40,0,0,8,8,0,0,7,0,0,5,0,7
1/16/2016,0,0,49,0,0,1,0,324,1538,352,47,0,0,0,0,0,5,0,25,32,0,173,2,179,39,1531,1,0,0,182,222,0,293,94,3,1,167,666,91,136,4,92,18,0,9,7,177,0,7,437,15,0,0,22,11,0,21,140,0,0,0,1701,1632,0,0,48,5,0,281,0,0,-14,115,61,23,0,0,0,719,1,0,2,19,58,0,6,6,3,1,58,0,0
1/23/2016,0,0,92,0,0,0,0,84,592,295,117,0,0,0,0,0,6,0,10,88,0,106,3,122,240,1201,3,0,0,962,119,0,647,261,1,1,253,97,125,67,433,21,56,0,3,-28,325,6,78,0,33,0,0,21,17,0,19,105,0,0,0,201,229,0,0,198,0,0,33,0,0,-23,115,124,511,0,0,0,2289,262,0,13,50,13,0,0,3,1,0,99,0,2
1/30/2016,0,0,24,0,0,0,0,159,499,807,27,0,0,0,0,0,8,0,5,122,0,171,1,125,273,12121,3,0,2,725,282,0,372,76,16,-1,0,78,35,23,2,109,0,0,19,194,124,3,16,24,6,0,0,27,26,0,6,43,0,0,0,1,1239,0,0,162,1,0,162,0,0,-29,115,73,93,2,2,4,600,4,0,3,40,96,0,2,1,1,0,2,0,41
2/6/2016,0,0,30,0,0,6,0,327,34,279,97,0,0,0,0,0,18,0,5,61,0,159,0,60,117,9211,1,0,0,63,140,181,411,70,5,1,80,47,56,141,24,80,109,1,17,105,996,0,22,6,62,0,0,17,11,0,80,20,0,0,4,3,2143,0,0,181,0,0,118,0,0,23,162,294,299,0,0,1,4398,2,0,5,167,90,0,0,0,6,0,317,0,0
2/13/2016,0,0,14,0,0,0,0,25,443,213,79,0,0,0,0,0,9,0,17,38,0,278,1,24,14,2742,4,0,0,777,28,0,186,43,9,1,0,72,44,11,40,141,0,0,13,81,283,3,110,0,5,0,0,35,59,0,51,183,0,0,0,2,111,0,0,103,0,0,295,0,0,31,135,43,50,0,0,18,496,15,0,0,2,60,0,3,0,0,0,49,0,7
2/20/2016,0,0,18,0,0,0,0,10,3071,537,42,0,0,0,0,0,11,0,60,74,0,243,0,250,76,369,0,0,0,713,440,0,68,250,2,0,47,610,47,220,22,6,0,1,0,65,3043,3,289,5,37,0,0,20,347,0,94,18,0,4,0,6,5851,0,0,7,0,0,20,0,0,6,249,629,422,0,0,0,4096,63,0,0,2,323,0,0,0,7,0,323,0,100
2/27/2016,0,0,80,0,0,1,0,40,2109,2424,86,0,0,0,0,0,4,0,0,101,0,150,2,283,15,2352,3,0,0,41,95,20,408,0,1,0,6,616,254,3,12,2026,0,8,3,81,400,0,8,0,34,0,0,19,37,0,68,9,0,0,0,25,3635,0,0,99,0,0,160,0,0,0,319,97,266,0,0,0,7027,6,0,0,26,73,0,0,0,2,0,46,0,13
3/5/2016,0,0,71,0,11,0,0,313,751,191,24,0,0,0,40,0,5,0,0,42,0,318,6,46,10,2607,0,0,0,170,793,0,21,3,67,0,101,5,167,1,16,7,0,0,5,0,488,0,78,338,10,0,0,5,22,0,155,77,0,0,0,6555,3350,0,0,101,0,0,163,0,0,-1,256,107,605,0,0,12,2249,210,0,22,16,5,0,1,0,2,0,28,0,346
