,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
1/13/2015,0,0,2.25,15.58,0,0,0,508.75,410.4,1847.55,517.14,0,0,0,0,0,588,65.7,0,1204.8,0,479.05,0,0,0,5028.45,0,0,0,581.27,268,0,943.4,10.6,0,0,0,0,275.4,0,0,0,0,0,70,3.65,846,0,0,0,118.65,0,30,1028.66,53.55,0,69.75,25.5,0,0,0,266.7,78,0,0,86,0,0,0,0,0,0,15.6,264,25.5,0,0,0,0,0,0,0,6.34,41.73,0,0,18,0,0,492.16,0,0
1/14/2015,0,0,0,54.53,0,0,0,55,2294,186.45,409.14,0,0,0,0,0,0,139.38,0,93.8,0,350.35,0,0,0,853.3,0,0,0,0,23.76,0,26.7,371,0,13.72,0,172.5,0,1891,0,0,0,0,0,0,262.5,0,-13.91,0,161.82,0,0,36.5,89.25,0,13.95,348.5,0,0,0,0,54.6,0,0,150.5,0,0,0,0,0,273.29,0,1226.08,188.55,0,0,0,2182.25,864,0,0,0,-13.91,0,0,0,0,0,234,0,0
1/15/2015,0,0,0,9.21,0,0,0,591.25,2850,214.7,399.42,0,0,0,0,0,0,97.56,0,97.46,0,0,0,0,0,17637.55,0,0,0,50.82,30.46,0,63.12,10.6,0,0,864,103.5,148.5,0,0,456,0,0,210,0,682.5,0,417.3,0,610.2,0,0,36.5,4230.45,0,6031.05,11296.5,0,0,0,7.51,5.2,0,0,86,0,0,99,0,0,396,1372.8,528,65.7,0,0,0,6525,0,0,0,0,13.91,0,0,0,0,0,156,0,0
1/16/2015,0,0,0,199.78,0,0,0,27.5,0,96.05,150.57,0,0,0,0,0,147,36.5,0,0,0,21.45,0,18177.9,149.34,0,0,0,0,0,643.2,0,21.04,381.6,0,0,0,0,0,0,0,0,0,0,70,0,6.21,0,13.91,26.02,186.45,0,0,0,21.11,0,10.15,17,0,0,0,0,59.8,0,0,43,0,0,99,0,0,54,1372.8,132,0,0,0,0,145.69,38.4,0,0,12.68,13.91,0,0,36,0,0,0,0,0
1/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2015,0,30,30.11,0,0,0,0,357.5,0,413.58,518.4,0,0,0,0,0,98,372.3,0,33.5,25,407.55,0,63206.7,7.98,1722.7,0,0,0,0,67,0,356,487.6,0,0,216,8820.5,50.4,0,0,0,0,0,70,14.6,19.95,0,0,0,237.3,0,750,146,53.55,0,358.05,348.5,0,0,0,0,147.4,0,0,266.6,0,0,0,0,0,61.2,0,171.6,224.4,0,0,0,0,0,0,0,19.02,41.73,0,0,0,20.57,0,0,0,0
1/20/2015,0,0,177.75,0,0,0,0,82.5,493.62,309.62,518.4,0,0,0,0,0,0,119.72,0,0,0,57.2,0,0,66.5,966,0,0,0,0,262.64,0,0,805.6,0,0,144,0,37.8,0,0,95,0,0,210,2190,2646,0,27.82,13.2,135.6,0,0,73,89.25,0,283.65,255,0,0,0,0,895.4,0,0,137.6,0,0,0,0,0,0,2059.2,154,83.3,0,0,0,0,0,0,0,0,89.02,0,0,0,0,0,780,0,0
1/21/2015,0,0,2.25,0,26.4,0,0,220,659.68,1202.32,1922.4,0,0,0,0,0,147,243.82,0,135.34,0,92.95,0,10372.2,319.2,898.38,0,66,66,907.88,8.04,0,640.8,10.6,0,0,403.2,506,0,0,0,57,0,0,140,10.95,3213,0,83.46,0,50.85,0,0,73,3980.55,0,106.95,178.5,0,0,0,0,0,0,0,391.3,164.85,0,1341.45,0,0,324,0,4466,197.2,0,0,0,1848.75,23.04,0,0,66.57,625.95,0,0,43.2,20.57,0,616.2,0,0
1/22/2015,0,0,0,0,0,0,0,41.25,0,-6.78,547.2,0,0,0,0,0,1225,192.72,0,53.6,0,193.05,0,0,665,16108.05,0,0,0,58.7,3108.8,0,391.6,74.2,0,0,0,103.5,0,124,12.65,0,0,0,0,445.3,0,0,13.91,105.6,50.85,0,0,8431.5,35.7,0,4.65,263.5,0,0,0,0,0,0,0,116.1,0,0,0,0,0,0,1762.8,497.2,348.5,0,0,0,3987.5,491.52,0,0,6.34,13.91,0,0,0,0,0,0,0,0
