,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
3/21/2015,0,30,159.75,0,0,0,0,1512.5,691.6,3593.99,1391.64,0,0,0,0,0,490,910.02,0,669.1,-50,507.65,0,2743.5,521.41,54071.85,0,0,22,1464.6,2164.1,0,9999.62,1049.4,0,13.72,93.6,1661.54,131.19,232.5,0,12312,0,0,210,-7.3,8495.25,0,931.97,1477.04,55.53,0,0,438,459.85,0,132.76,773.5,0,0,0,12744.45,21252,0,0,822.94,0,0,3390.75,0,0,580.97,4465.91,2000.49,1401.05,0,0,0,12401.5,182.4,0,0,57.06,1502.28,0,0,18,20.57,0,5054.4,0,0
3/28/2015,0,0,456.75,0,0,0,0,2571.25,10583.28,1327.75,1701.36,0,0,0,0,0,343,1303.44,0,288.88,0,3167.45,30,3522.3,1123.85,11023.56,0,0,0,52.38,1769.14,0,14923.56,1020.36,0,782.04,504,240.46,253.93,1038.5,0,5415,0,0,350,83.95,7686,0,4117.36,616.8,416.16,0,0,680.98,6218.52,0,478.62,221,0,0,0,-12.7,27828.72,0,0,392.94,0,0,69.3,0,0,1683.65,246.18,6161.68,276.42,0,0,0,4311.13,204.5,0,0,206.05,1492.36,0,0,36,0,0,3010.8,0,0
4/4/2015,0,0,166.75,0,0,0,0,14891.25,168.67,3394.55,1144.08,0,0,0,0,0,147,695.4,0,809.22,0,171.6,0,4141.8,60.39,1443.43,0,0,0,401.24,2592.9,0,678.44,389.88,0,164.64,0,7921.43,268.35,2325,1644.5,627,0,0,420,52.2,2089.06,0,83.46,1843.16,186.45,0,0,629.99,5390.7,0,807.25,603.5,0,0,0,3175,16665.5,0,0,715.09,0,0,1014.75,0,0,0,218.4,968.88,1058.76,0,0,0,1331.46,0,0,0,82.42,1001.52,0,0,22.68,0,0,2191.9,0,0
4/11/2015,0,0,251.97,0,0,0,0,1031.25,18.54,1808.35,1576.44,0,0,0,0,30,392,726.38,0,340.07,0,5248.1,0,11097.9,26.6,4152.04,0,0,0,341.95,1938.35,0,351.9,381.96,0,178.36,0,112.3,240.19,155,2428.8,2926,0,0,840,394.2,6175.75,0,111.28,52.42,84.75,0,0,438,321.3,0,384.02,399.5,0,0,0,19.05,862.29,0,0,672.79,0,0,24.75,0,0,931.78,6622.52,2750.4,4290.75,0,0,0,36.32,2006.4,0,0,361.38,1575.47,90,0,0,41.14,0,1146.92,0,0
4/18/2015,0,0,147.93,0,0,0,0,1443.75,0,851.93,7650.54,0,0,0,0,0,196,1275.72,0,817.58,0,393.25,30,2938.2,86.45,2264.15,0,462,0,1427.4,33.5,0,5771.9,540.6,0,68.6,7.2,2107.5,136.14,186,12.65,703,0,0,140,602.25,2079,0,41.73,563.9,182.34,0,0,2336,692.4,0,109.29,790.5,0,0,0,4065.6,11338.28,0,0,430,0,0,504.9,0,0,1642.95,191.3,6061.12,975.45,0,0,0,272.4,127.22,0,0,453.31,1890.2,0,0,18,0,0,1786.36,0,0
4/25/2015,0,0,19.04,0,0,0,0,1196.25,0,2442.22,2204.37,0,0,0,0,0,147,1578.4,0,770.04,0,193.05,60,1062,980.65,134.41,0,0,0,2649.82,355.1,0,1103.6,2774.74,0,13.72,4341.6,3803.22,187.5,666.5,12.65,361,0,0,630,10.95,725.35,0,5550.09,413.16,134.41,0,0,1055.96,1338.75,0,618.63,13098.5,0,0,0,169.3,4637,387.5,0,524.5,0,0,2178,0,0,566.38,4028.43,12572.24,1149.72,0,0,0,7303.64,28.8,0,0,44.38,4548.57,0,0,0,0,0,273,0,0
5/2/2015,0,30,47.52,0,0,0,30,3052.5,24.27,4498.02,2060.06,0,0,0,0,0,245,467.2,0,309,0,1673.1,60,4973.7,122.8,12273.06,0,0,0,2333,190,0,0,34.26,0,44.23,7.2,1481.32,47.05,0,1265,456,0,0,280,149.65,51.44,0,27.82,330,224.15,0,0,227.18,2677.5,0,274.61,1113.5,0,0,0,349.25,1379.73,93.75,0,676.5,0,0,1514.7,0,0,494.06,1282.83,44,1557.24,0,0,0,43021.5,0,0,0,34.87,54.21,135,0,18,0,0,76.88,0,0
5/9/2015,0,0,95,0,0,0,0,151.25,16262.1,4498.1,52.12,0,0,0,0,0,147,357.7,0,529.5,25,2166.45,0,3628.5,59.85,667.85,0,0,0,1797.16,490,0,542.9,21.2,0,167.71,79.2,2901.98,167.52,0,442.75,4446,0,0,1470,7.3,661.5,0,3992.17,13.46,237.3,0,30,2563.18,485.95,0,487.76,1394,0,0,0,1885.95,4518.36,0,0,1810.82,0,0,415.8,0,0,1156.03,78,7022.93,496.7,0,0,0,6844,56.6,0,0,840.05,2562.56,45,0,22.03,0,0,4647.2,0,0
5/16/2015,0,0,328.5,0,26.76,0,0,357.5,4746.2,1283.58,4428,0,0,0,0,0,147,629.38,0,532.4,0,421.85,0,0,270.32,3226.36,0,0,22,706.25,848.2,0,1958.42,134.07,0,16.69,0,-32.96,100.36,310,0,38,0,0,350,18.25,1328.25,0,542.49,2398,33.9,0,0,2132.8,1150.12,0,498.35,178.5,0,0,0,1224.2,1122,0,0,1411.45,0,0,0,0,0,489.9,8907.6,2759,3559.18,0,0,0,3838.62,710.4,0,0,1103.16,181.97,0,0,36,20.57,0,868.4,0,0
5/23/2015,0,0,207.47,0,0,0,0,2420,38,5472.77,2578.68,0,0,0,0,0,147,444.82,0,891.1,75,386.1,30,17.7,0,122.44,0,440,0,1247.34,810.7,0,640.8,304.59,0,356.72,0,-9.08,15,806,518.65,0,387,0,210,18.25,1730.7,0,69.55,13.31,418.33,0,0,781.84,589.05,0,61.43,484.5,0,0,0,515.12,645.6,0,0,1755.06,0,0,247.5,0,0,605.34,4152.88,904.2,867,0,0,0,1335.4,192,0,0,3.17,331.61,0,0,87.12,0,0,842.4,0,0
