Date,InvQty,POQty
1/3/2015,266,480
1/10/2015,603,72
1/17/2015,615,216
1/24/2015,745,168
1/31/2015,678,576
2/7/2015,879,192
2/14/2015,551,408
2/21/2015,843,408
2/28/2015,912,408
3/7/2015,1001,288
3/14/2015,803,48
3/21/2015,240,888
3/28/2015,1107,264
4/4/2015,862,240
4/11/2015,799,120
4/18/2015,781,120
4/25/2015,882,0
5/2/2015,806,48
5/9/2015,656,48
5/16/2015,679,96
5/23/2015,710,0
5/30/2015,676,0
6/6/2015,620,72
6/13/2015,570,168
6/20/2015,649,0
6/27/2015,552,96
7/4/2015,530,96
7/11/2015,497,48
7/18/2015,310,432
7/25/2015,362,336
8/1/2015,581,144
8/8/2015,606,72
8/15/2015,248,384
8/22/2015,217,360
8/29/2015,314,768
9/5/2015,301,528
9/12/2015,520,240
9/19/2015,565,24
9/26/2015,511,0
10/3/2015,490,144
10/10/2015,562,24
10/17/2015,554,0
10/24/2015,530,0
10/31/2015,487,144
11/7/2015,380,48
11/14/2015,409,0
11/21/2015,369,120
11/28/2015,365,600
12/5/2015,141,552
12/12/2015,685,0
12/19/2015,496,0
12/26/2015,474,0
1/2/2016,469,0
1/9/2016,463,120
1/16/2016,576,0
1/23/2016,568,48
1/30/2016,541,48
2/6/2016,567,0
2/13/2016,555,0
2/20/2016,496,336
2/27/2016,222,264
3/5/2016,444,48
3/12/2016,482,24
3/19/2016,464,24
3/26/2016,484,0
4/2/2016,471,0
4/9/2016,454,12
4/16/2016,450,24
